Season,Gender,Style Name,Unique ID,Target Volume,Target FOB $,Target Retail Price $,Style Update,Vertical,Color Update,Factory,UPPER Cost,Other Cost,BOTTOM Cost ,LABOR Cost,OVERHEAD Cost,Tooling Cost,Actual FOB $
SS23,Men,Cloudstorm,MXX20181448,350000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181450,350000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181474,600000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20181622,350000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181630,350000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181730,600000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20181742,350000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181852,350000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20181854,350000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20182254,350000,36.4,170,CO - Carry Over,Performance All Day,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20182256,350000,36.4,170,CO - Carry Over,Performance All Day,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20182958,600000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20182960,600000,36.4,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20183040,600000,36.4,170,CO - Carry Over,Performance All Day,NC - New Color,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20183486,350000,36.4,170,CO - Carry Over,Performance All Day,NC - New Color,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20183486,600000,36.4,170,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudinfinity,MXX20340340,45,32.175,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.26,3.69,6.96,5.70,4.16,0.00,27.76
SS23,Men,Cloudfast,MXX20342310,42500,32.175,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.50,3.79,6.76,5.72,4.67,0.05,29.48
SS23,Men,Cloudfast,MXX20342312,42500,32.175,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.50,3.79,6.76,5.72,4.67,0.05,29.48
SS23,Men,Cloudinfinity,MXX20343012,45,32.175,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.26,3.69,6.96,5.70,4.16,0.00,27.76
SS23,Men,Cloudinfinity,MXX20460140,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20460140,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20460140,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20460140,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20460216,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20460216,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20460324,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20460324,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20460578,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20460578,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20460578,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20460578,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20460598,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20460598,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20460598,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20460598,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20460970,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20460970,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20460970,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20460970,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20461384,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20461384,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20461384,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20461384,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20461388,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20461388,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20461564,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20461564,1070000,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20461566,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20461566,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20461692,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20461692,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20461742,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20461742,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20461742,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20461742,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462078,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20462078,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20462078,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462078,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462316,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20462316,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20462316,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462316,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462590,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462590,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462598,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462598,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462602,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462602,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20462604,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20462604,1173777,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20463016,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20463016,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudinfinity,MXX20463486,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,8.65,19.27,6.77,4.29,3.38,0.00,42.35
SS23,Men,Cloudinfinity,MXX20463486,1070000,30.03,140,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.42,3.80,6.96,5.72,4.67,0.05,29.62
SS23,Men,Cloudinfinity,MXX20463486,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,8.66,3.93,6.96,4.17,3.39,0.00,27.12
SS23,Men,Cloudinfinity,MXX20463486,1173777,30.03,140,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,7.89,3.79,6.92,5.75,4.33,0.05,28.73
SS23,Men,Cloudrift,MXX20480970,130000,37.7,160,NU - New Upper,Performance All Day,NC - New Color,Factory 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SS23,Men,Cloudrift,MXX20480970,100000,37.7,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,10.71,4.92,10.14,6.06,4.16,0.00,35.99
SS23,Men,Cloudrift,MXX20481660,100000,37.7,160,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,10.71,4.92,10.14,6.06,4.16,0.00,35.99
SS23,Men,Cloudrift,MXX20482428,130000,37.7,160,NU - New Upper,Performance All Day,NC - New Color,Factory 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SS23,Men,Cloudrift,MXX20482842,100000,37.7,160,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,10.71,4.92,10.14,6.06,4.16,0.00,35.99
SS23,Men,Cloudrift,MXX20482846,100000,37.7,160,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,10.71,4.92,10.14,6.06,4.16,0.00,35.99
SS23,Men,Cloudpeak,MXX20501406,45000,34.32,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,10.43,3.80,7.06,5.81,4.75,0.05,31.90
SS23,Men,Cloudpeak,MXX20501644,45000,34.32,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,10.43,3.80,7.06,5.81,4.75,0.05,31.90
SS23,Men,Cloudpeak,MXX20501646,45000,34.32,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,10.43,3.80,7.06,5.81,4.75,0.05,31.90
SS23,Men,Cloudloud Flux,MXX20521332,20000,34.32,160,TN - Totally New,Performance All Day,NC - New Color,Factory 4,10.02,4.55,9.99,6.31,4.58,0.97,36.41
SS23,Men,Cloudloud Flux,MXX20521332,35000,34.32,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,9.79,4.53,10.29,6.44,4.61,0.97,36.63
SS23,Men,Cloudloud Flux,MXX20522198,35000,34.32,160,CO - Carry Over,Performance All Day,NC - New Color,Factory 4,9.79,4.53,10.29,6.44,4.61,0.97,36.63
SS23,Men,Cloudloud Flux,MXX20522292,20000,34.32,160,TN - Totally New,Performance All Day,NC - New Color,Factory 4,10.02,4.55,9.99,6.31,4.58,0.97,36.41
SS23,Men,Cloudloud Flux,MXX20522292,35000,34.32,160,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,9.79,4.53,10.29,6.44,4.61,0.97,36.63
SS23,Men,Cloudloud Flux,MXX20523476,35000,34.32,160,CO - Carry Over,Performance All Day,NC - New Color,Factory 4,9.79,4.53,10.29,6.44,4.61,0.97,36.63
SS23,Men,Cloudmountain,MXX20541404,77000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,9.57,7.43,6.76,4.29,3.38,0.00,31.44
SS23,Men,Cloudmountain,MXX20541404,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,9.57,4.22,6.76,4.29,3.38,0.00,28.23
SS23,Men,Cloudmountain,MXX20541404,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.11,3.79,6.91,5.74,4.16,0.00,28.71
SS23,Men,Cloudmountain,MXX20541408,77000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,9.57,7.43,6.76,4.29,3.38,0.00,31.44
SS23,Men,Cloudmountain,MXX20541408,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,9.57,4.22,6.76,4.29,3.38,0.00,28.23
SS23,Men,Cloudmountain,MXX20541408,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.11,3.79,6.91,5.74,4.16,0.00,28.71
SS23,Men,Cloudmountain,MXX20541410,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 3,9.57,4.22,6.76,4.29,3.38,0.00,28.23
SS23,Men,Cloudmountain,MXX20541410,40000,32.175,150,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,8.11,3.79,6.91,5.74,4.16,0.00,28.71
SS23,Men,Cloudmountain,MXX20542122,77000,32.175,150,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,9.57,7.43,6.76,4.29,3.38,0.00,31.44
SS23,Men,Cloudmountain,MXX20542626,40000,32.175,150,CO - Carry Over,Performance All Day,NC - New Color,Factory 3,9.57,4.22,6.76,4.29,3.38,0.00,28.23
SS23,Men,Cloudmountain,MXX20542626,40000,32.175,150,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,8.11,3.79,6.91,5.74,4.16,0.00,28.71
SS23,Men,Cloudarmy 2,MXX20560598,195000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,7.58,8.03,13.02,6.63,4.94,0.04,40.24
SS23,Men,Cloudarmy 2,MXX20560598,165000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,6.93,5.15,13.06,6.99,4.85,0.04,37.01
SS23,Men,Cloudarmy 2,MXX20560754,195000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,7.58,8.03,13.02,6.63,4.94,0.04,40.24
SS23,Men,Cloudarmy 2,MXX20561474,195000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,7.58,8.03,13.02,6.63,4.94,0.04,40.24
SS23,Men,Cloudarmy 2,MXX20561474,165000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,6.93,5.15,13.06,6.99,4.85,0.04,37.01
SS23,Men,Cloudarmy 2,MXX20561612,195000,33.8,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,7.58,8.03,13.02,6.63,4.94,0.04,40.24
SS23,Men,Cloudarmy 2,MXX20562036,195000,33.8,170,CO - Carry Over,Performance Running,NC - New Color,Factory 1,7.58,8.03,13.02,6.63,4.94,0.04,40.24
SS23,Men,Cloudarmy 2,MXX20562954,165000,33.8,170,CO - Carry Over,Performance Running,NC - New Color,Factory 1,6.93,5.15,13.06,6.99,4.85,0.04,37.01
SS23,Men,Cloudarmy 2,MXX20562956,165000,33.8,170,CO - Carry Over,Performance Running,NC - New Color,Factory 1,6.93,5.15,13.06,6.99,4.85,0.04,37.01
SS23,Men,Cloud Fly Wide,MXX20640212,50000,29.9,150,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,10.58,7.38,7.79,5.37,4.38,0.05,35.55
SS23,Men,Cloud Fly Wide,MXX20640212,42500,29.9,150,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,10.06,4.86,8.02,5.49,4.31,0.05,32.80
SS23,Men,Cloud Fly Wide,MXX20641588,50000,29.9,150,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,10.58,7.38,7.79,5.37,4.38,0.05,35.55
SS23,Men,Cloud Fly Wide,MXX20642458,42500,29.9,150,CO - Carry Over,Performance Running,NC - New Color,Factory 1,10.06,4.86,8.02,5.49,4.31,0.05,32.80
SS23,Men,Cloudarmy,MXX20680794,175000,35.1,140,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,11.85,9.37,11.07,6.47,5.10,0.00,43.86
SS23,Men,Cloudarmy,MXX20681282,175000,35.1,140,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,11.85,9.37,11.07,6.47,5.10,0.00,43.86
SS23,Men,Cloudarmy,MXX20682018,175000,35.1,140,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,11.85,9.37,11.07,6.47,5.10,0.00,43.86
SS23,Men,Cloudarmy,MXX20682402,175000,35.1,140,CO - Carry Over,Performance Running,NC - New Color,Factory 1,11.85,9.37,11.07,6.47,5.10,0.00,43.86
SS23,Men,Cloudarmy,MXX20682410,175000,35.1,140,CO - Carry Over,Performance Running,NC - New Color,Factory 1,11.85,9.37,11.07,6.47,5.10,0.00,43.86
SS23,Men,Cloud Run,MXX20741258,22000,43.55,200,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 1,11.40,6.14,15.81,7.46,4.81,0.00,45.61
SS23,Men,Cloud Run,MXX20743068,22000,43.55,200,CO - Carry Over,Performance All Day,NC - New Color,Factory 1,11.40,6.14,15.81,7.46,4.81,0.00,45.61
SS23,Men,Cloudpuff,MXX20761106,35000,35.1,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 5,14.89,6.37,8.13,5.72,4.42,0.00,39.52
SS23,Men,Cloudpuff,MXX20761106,35000,35.1,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 5,14.89,4.32,8.13,5.72,4.42,0.00,37.47
SS23,Men,Cloudpuff,MXX20761592,35000,35.1,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 5,14.89,6.37,8.13,5.72,4.42,0.00,39.52
SS23,Men,Cloudpuff,MXX20763182,35000,35.1,170,CO - Carry Over,Performance Running,NC - New Color,Factory 5,14.89,4.32,8.13,5.72,4.42,0.00,37.47
